[2014-03-23 21:18:30,608] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (45.3571195,25.5397671,'2014-03-23 21:18:30','Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 21:18:30,830] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (44.417126,26.110211,'2014-03-23 21:18:30','Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 21:18:30,831] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (44.417126,26.110211,'2014-03-23 21:18:30','Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 21:18:31,100] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (46.6023,22.98421,'2014-03-23 21:18:31','DN1R','Cluj County','Belis','Romania');
[2014-03-23 21:18:31,101] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (46.6023,22.98421,'2014-03-23 21:18:31','DN1R','Cluj County','Belis','Romania');
[2014-03-23 21:18:31,385] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (44.402913,26.136045,'2014-03-23 21:18:31','Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 21:18:31,483] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (44.402913,26.136045,'2014-03-23 21:18:31','Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 21:18:31,740] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (45.18536,29.655238,'2014-03-23 21:18:31','DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 21:18:31,742] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (45.18536,29.655238,'2014-03-23 21:18:31','DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 21:18:31,967] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (44.057735,28.596516,'2014-03-23 21:18:31','Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
